advertised_date,number_of_bedrooms,rent,floor_area,level,suburb,furnished,tenancy_preference,number_of_bathrooms,point_of_contact,secondary_address,building_number,street_name,street_suffix,prefix,first_name,last_name,gender,phone_number,email
2022-06-24,1,568.0,270,1 out of 2,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,Unit 29 ,43,Crystal Rest,Promenade,Mr.,Michael,Estes,m,+61-8-3509-8364,knighttina@example.org
2022-05-12,3,571.0,1500,Ground out of 2,Canberra,Furnished,Bachelors,2,Contact Owner,Suite 369 ,327,Gary Bend,Port,Mrs.,Julia,Gonzalez,f,+61.2.0027.7432,lyonsjohn@example.org
2022-06-26,1,562.0,600,2 out of 5,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,666/,055,Wong Crossing,Causeway,Dr.,Jason,Campbell,m,08.8863.7484,markdaniels@example.net
2022-04-30,2,566.0,700,4 out of 14,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,Suite 769 ,83,Dawn Courtyard,Flat,Mr.,Adam,Welch,m,4218 1874,qspencer@example.net
2022-05-27,1,563.0,300,Ground out of 3,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,Unit 10 ,728,Craig Byway,Edge,Dr.,Mr.,James,m,07 3517 5166,candacebuck@example.org
2022-06-06,2,568.0,1300,Ground out of 1,Canberra,Semi-Furnished,Family,2,Contact Owner,084/,71,Bennett Parklands,Parklands,,Angela,Robles,u,0430.549.475,zsingh@example.net
2022-05-20,2,561.0,400,3 out of 3,Canberra,Semi-Furnished,Bachelors,1,Contact Owner,Unit 54 ,68,Taylor Intersection,Run,Ms.,Mary,Perkins,f,0230910197,ryan51@example.org
2022-05-26,3,594.0,2000,Ground out of 2,Canberra,Semi-Furnished,Bachelors/Family,2,Contact Owner,Unit 90 ,733,Porter Nook,Dell,Mr.,Christina,Lyon,m,4262 6648,jbrown@example.org
2022-05-12,3,574.0,1068,Ground out of 3,Canberra,Semi-Furnished,Bachelors/Family,2,Contact Owner,5/,3,Julie Centre,Circuit,Mr.,Richard,Wallace,m,+61-3-8971-6658,diazdavid@example.org
2022-06-22,1,565.0,150,1 out of 1,Canberra,Furnished,Bachelors/Family,1,Contact Owner,Suite 832 ,444,Rhodes Chase,Firetrail,,Tammie,Molina,u,86034369,alexandrafox@example.org
2022-06-25,1,565.0,450,2 out of 2,Canberra,Unfurnished,Bachelors,1,Contact Owner,Apt. 306 ,58,Johnson Round,Vale,Mr.,Michael,Thompson,m,+61 429 959 662,pramirez@example.org
2022-04-23,2,574.0,1000,Ground out of 2,Canberra,Unfurnished,Bachelors/Family,2,Contact Owner,Level 8 ,0,Christopher Roads,Gates,Mr.,Derek,Warren,m,03 5104 7299,smithchad@example.org
2022-05-14,2,569.0,900,5 out of 5,Canberra,Semi-Furnished,Bachelors,1,Contact Owner,0/,996,Richardson Intersection,Reserve,,Victoria,Serrano,u,4241-2963,ebrewer@example.org
2022-05-27,1,564.0,600,Ground out of 2,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,1/,429,Peter Ramp,Vale,Mrs.,Kathy,Garcia,f,(08).9838.4965,alvaradolisa@example.net
2022-06-19,2,563.0,1200,1 out of 1,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Apt. 763 ,09,Murphy Ramp,Alley,Dr.,Tammy,Monroe,f,0457.764.863,timothycampbell@example.com
2022-06-19,2,563.0,1200,2 out of 2,Canberra,Semi-Furnished,Bachelors,2,Contact Owner,3/,1,Lewis Highway,Thoroughfare,,Shannon,Smith,u,(07) 5985 5787,shawjessica@example.org
2022-06-21,3,594.0,1200,Ground out of 2,Canberra,Unfurnished,Bachelors/Family,3,Contact Agent,Unit 52 ,26,John Approach,Hill,Mrs.,Jessica,Montoya,f,+61 2 8659 2563,boydchristy@example.net
2022-06-04,2,568.0,700,7 out of 8,Canberra,Unfurnished,Bachelors/Family,2,Contact Owner,506/,381,Nash Place,Meander,,Mx.,Isaac,u,63818234,qbailey@example.com
2022-06-24,3,594.0,2000,1 out of 3,Canberra,Semi-Furnished,Bachelors/Family,2,Contact Owner,Flat 74 ,913,Ralph Brow,Walkway,Mrs.,Karen,Allen,f,(03)46879633,meyerrobyn@example.com
2022-05-14,1,560.0,250,Ground out of 4,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,515/,8,Daniel Basin,Mew,,Patricia,Everett,u,0429-447-212,wgarcia@example.com
2022-06-26,2,565.0,1100,Ground out of 3,Canberra,Unfurnished,Bachelors,1,Contact Owner,Suite 580 ,104,Sanders Courtyard,Underpass,,Edward,Roy,u,07-1215-5705,heather48@example.com
2022-05-05,2,565.0,600,Ground out of 2,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,Unit 80 ,159,Albert Concourse,Hill,Mr.,Shaun,Clark,m,(02) 6597 4869,paulstone@example.org
2022-05-18,2,564.0,800,Ground out of 2,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,38/,40,Price Driveway,Row,Miss,Jennifer,Carrillo,f,(08) 4851 6598,brookerivera@example.org
2022-06-07,1,565.0,680,1 out of 3,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Apt. 843 ,0,Melissa Elbow,Ridgeway,Mrs.,Wendy,Harper,f,+61330411767,hking@example.net
2022-06-07,1,565.0,680,Ground out of 2,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Flat 03 ,5,Alex Turn,Gates,Mrs.,Makayla,Wagner,f,(08).1101.0200,patelmargaret@example.com
2022-06-26,2,576.0,850,1 out of 4,Canberra,Semi-Furnished,Bachelors,1,Contact Agent,Level 0 ,9,Giles Extension,Foreshore,Mrs.,Erika,Greene,f,+61334817317,jpadilla@example.com
2022-06-26,2,576.0,850,1 out of 2,Canberra,Semi-Furnished,Bachelors,1,Contact Agent,Suite 950 ,10,Bauer Park,Retreat,Mrs.,Andrea,Giles,f,0437-470-525,alexandrarodriguez@example.org
2022-05-30,2,564.0,700,Ground out of 2,Canberra,Unfurnished,Bachelors,1,Contact Owner,826/,36,Nancy Driveway,Highway,Dr.,Steven,Michael,m,7129 0872,alexandria72@example.net
2022-05-22,3,606.0,1500,Ground out of 2,Canberra,Unfurnished,Bachelors/Family,2,Contact Owner,Suite 464 ,54,Cruz Byway,Tarn,,Ashley,Garcia,u,+61884635030,yalvarado@example.org
2022-06-18,2,571.0,950,1 out of 4,Canberra,Semi-Furnished,Bachelors/Family,2,Contact Owner,Unit 26 ,935,Dylan Amble,Terrace,Dr.,Nicholas,Reilly,m,0498.742.187,ddavidson@example.org
2022-06-08,2,562.0,500,Ground out of 2,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,80/,5,Mary Park,Roadway,Dr.,Kiara,Hart,f,(02) 7160 0247,umathis@example.com
2022-06-25,1,562.0,450,2 out of 4,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,Level 7 ,763,Wright Square,Strand,Dr.,Nobuhle,Gebhezi,f,+61.486.479.308,georgemallory@example.com
2022-05-03,2,564.0,700,Ground out of 2,Canberra,Unfurnished,Bachelors,1,Contact Owner,88/,462,Wright Landing,Highway,Mr.,Gregory,Cobb,m,+61.463.669.254,baileyhorton@example.net
2022-05-12,1,565.0,500,1 out of 2,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Flat 98 ,59,Benjamin Lees,Ridgeway,Mrs.,Connie,Campbell,f,(02)06058775,jeffrey68@example.org
2022-06-01,3,574.0,1800,Ground out of 2,Canberra,Semi-Furnished,Bachelors/Family,2,Contact Owner,Level 8 ,323,Carolyn Route,Corner,Mrs.,Hannah,Nichols,f,0680 9610,ghogan@example.org
2022-05-23,1,566.0,500,1 out of 3,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,Flat 05 ,006,Fletcher Towers,Mew,Mr.,Jason,Edwards,m,(03)18158081,curtisquinn@example.com
2022-05-23,2,574.0,480,Ground out of 3,Canberra,Furnished,Bachelors/Family,2,Contact Owner,5/,137,Hill Viaduct,Ridgeway,Mrs.,Jessica,Vasquez,f,8267-9746,hillamanda@example.com
2022-06-21,6,581.0,1000,1 out of 1,Canberra,Semi-Furnished,Bachelors/Family,2,Contact Owner,Level 2 ,5,Brown Vista,Ride,Miss,Judy,Lucero,f,(03).5960.7171,devonpierce@example.net
2022-06-22,2,564.0,800,1 out of 2,Canberra,Furnished,Bachelors/Family,1,Contact Owner,236/,85,Owens Alley,Centre,Mr.,Travis,Summers,m,08 8006 2182,sarah51@example.net
2022-05-27,1,568.0,435,2 out of 3,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Level 4 ,0,Caldwell Strip,Circle,Mr.,Michael,Owens,m,(03)15864977,mcknightsamuel@example.org
2022-05-07,2,564.0,700,Ground out of 2,Canberra,Semi-Furnished,Bachelors/Family,2,Contact Agent,7/,3,Jamie Cross,Reach,,Ashlee,Davis,u,+61-7-0533-0449,johnsonmelinda@example.com
2022-06-25,2,583.0,800,4 out of 4,Canberra,Furnished,Bachelors/Family,1,Contact Agent,7/,5,Neal Quadrangle,Plaza,Mr.,Joshua,Levy,m,+61784062146,amanda36@example.org
2022-05-31,2,566.0,550,2 out of 3,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Agent,Unit 30 ,4,Aaron Break,Steps,Mr.,Charles,Miller,m,+61-8-6558-0344,caleb55@example.org
2022-06-03,2,578.0,800,Ground out of 4,Canberra,Unfurnished,Bachelors,2,Contact Agent,274/,10,William Walk,Dip,,Matthew,Drake,u,0453 296 740,ericzimmerman@example.org
2022-05-15,1,567.0,600,2 out of 4,Canberra,Furnished,Bachelors/Family,1,Contact Owner,Level 9 ,71,Leslie Rue,Walkway,Mr.,Trevor,Smith,m,(07).2275.2778,mallorybeasley@example.com
2022-06-09,1,563.0,500,Ground out of 1,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Apt. 281 ,4,Ferguson Walkway,Pathway,Mrs.,Amanda,Singh,f,+61 457 290 527,briangiles@example.org
2022-04-28,2,581.0,1000,1 out of 2,Canberra,Furnished,Bachelors/Family,2,Contact Owner,Unit 09 ,78,Ashley Boulevard,River,Mrs.,Shelby,Smith,f,(07).6344.5155,leslie51@example.net
2022-05-23,1,562.0,300,1 out of 2,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Unit 58 ,7,Stacey Laneway,Lane,,Lisa,Smith,u,(08)41027080,millscarrie@example.net
2022-06-23,2,568.0,500,3 out of 4,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,Level 3 ,183,Courtney Garden,Villas,,Laura,Barnett,u,(03).7189.6085,jenniferphillips@example.org
2022-04-29,4,578.0,1200,1 out of 2,Canberra,Unfurnished,Family,2,Contact Owner,Flat 08 ,4,Whitaker Gardens,Meander,,Nathan,King,u,0480.574.966,robert98@example.net
2022-06-13,2,574.0,900,1 out of 2,Canberra,Semi-Furnished,Bachelors/Family,2,Contact Agent,623/,7,Cruz Circuit,Roadway,Miss,Jessica,Anderson,f,5881.5008,matthew62@example.net
2022-06-13,3,583.0,1300,Ground out of 2,Canberra,Unfurnished,Bachelors/Family,3,Contact Agent,9/,20,Amy Deviation,Edge,Mrs.,Maria,Ross,f,03-5439-3024,rogersjudy@example.com
2022-06-13,4,600.0,1600,1 out of 5,Canberra,Unfurnished,Bachelors/Family,3,Contact Agent,7/,48,Ann Terrace,Key,,Eddie,Roberts,u,0455 396 903,kellyjacobs@example.net
2022-05-14,3,582.0,1450,Ground out of 1,Canberra,Unfurnished,Family,2,Contact Owner,Suite 385 ,1,Bonnie Artery,Crest,Dr.,Ethan,Atkinson,m,02.8607.0561,vjones@example.org
2022-06-16,2,786.0,950,Ground out of 1,Canberra,Unfurnished,Bachelors/Family,2,Contact Owner,6/,31,Holly Circuit,Wynd,,Gregory,Wright,u,(02) 1342 4616,bhumphrey@example.net
2022-06-06,1,563.0,600,8 out of 5,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Apt. 038 ,5,Carroll Heights,Piazza,Mr.,Mitchell,Sandoval,m,0760078718,rodriguezjohn@example.org
2022-05-15,3,565.0,750,Ground out of 2,Canberra,Unfurnished,Family,1,Contact Owner,542/,81,David Common,Gates,Mrs.,Benjamin,Dawson,f,8797 0630,herreratimothy@example.org
2022-05-04,2,565.0,1000,Ground out of 1,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Level 8 ,41,Fisher Lookout,Reach,,Cassandra,Davis,u,+61.446.739.193,anthonysamantha@example.com
2022-04-25,1,563.0,220,Ground out of 2,Canberra,Furnished,Bachelors/Family,1,Contact Owner,Suite 582 ,8,Stephanie Loop,Corso,Mr.,Gregory,Johnson,m,0489-635-980,cassiemcmillan@example.com
2022-05-21,1,565.0,300,1 out of 3,Canberra,Semi-Furnished,Bachelors,1,Contact Agent,810/,9,Shawn Gardens,Tollway,,Christy,Hudson,u,9637-1692,annakaiser@example.org
2022-04-28,3,574.0,1600,1 out of 3,Canberra,Unfurnished,Bachelors/Family,2,Contact Owner,330/,01,Sara Street,Riviera,,Eric,Young,u,4972 2517,shepardgregory@example.com
2022-05-15,2,573.0,1000,1 out of 3,Canberra,Unfurnished,Bachelors/Family,2,Contact Owner,3/,202,Brooke Plateau,Grange,Mrs.,Alyssa,Henry,f,+61389078205,hannahperez@example.net
2022-05-30,1,562.0,20,2 out of 3,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Suite 143 ,93,Montoya Underpass,Park,,Breanna,Davis,u,+61 439 668 379,karen82@example.com
2022-06-10,2,564.0,400,Ground out of 2,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,57/,04,Anna Motorway,Reach,Mr.,Dr.,Julian,m,+61-7-0118-1310,heatherprice@example.org
2022-06-23,1,560.0,200,2 out of 2,Canberra,Furnished,Bachelors/Family,1,Contact Owner,02/,022,Mark Part,Close,Mrs.,Holly,Crosby,f,0847562112,jamesjones@example.org
2022-06-09,3,573.0,840,1 out of 4,Canberra,Unfurnished,Bachelors,2,Contact Owner,Apt. 095 ,73,Scott Fairway,Crossing,,Karen,Ford,u,+61.2.7589.5215,smithemily@example.org
2022-06-19,1,563.0,300,1 out of 1,Canberra,Unfurnished,Bachelors/Family,1,Contact Agent,Suite 884 ,269,Mathews Trail,Centre,,Melanie,Valdez,u,(02)94926309,jasmine00@example.com
2022-05-14,2,565.0,800,1 out of 1,Canberra,Unfurnished,Bachelors/Family,2,Contact Owner,Level 1 ,2,Hunt Grange,Sound,Mrs.,Laura,Baker,f,5408 8099,brianbell@example.net
2022-05-10,2,568.0,740,Ground out of 6,Canberra,Unfurnished,Bachelors,1,Contact Owner,Unit 22 ,490,Smith Right Of Way,Promenade,Dr.,Shelby,Hester,f,0381763499,annasmith@example.org
2022-04-25,2,578.0,1300,1 out of 1,Canberra,Unfurnished,Bachelors/Family,2,Contact Owner,Apt. 806 ,71,Hines Villas,Way,Mrs.,Dorothy,Dennis,f,0337871491,xsantiago@example.com
2022-06-13,2,565.0,650,Ground out of 1,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,306/,6,Alexandra Meander,Mew,,Jerry,Stanley,u,+61.439.625.965,melissa50@example.net
2022-05-06,2,565.0,490,1 out of 1,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,Unit 93 ,85,Barnes Rest,Lane,Mrs.,Diana,Johnson,f,5400.7560,perry35@example.net
2022-06-08,1,561.0,250,2 out of 2,Canberra,Furnished,Bachelors/Family,1,Contact Owner,7/,2,John Amble,Ramp,Dr.,Sean,Hall,m,(02) 5711 6572,trevor73@example.net
2022-06-08,1,561.0,250,Ground out of 1,Canberra,Furnished,Bachelors/Family,1,Contact Owner,Apt. 027 ,4,Knight Rue,Bridge,,Brandy,Anderson,u,0435-929-253,shawsandra@example.org
2022-05-06,1,561.0,450,1 out of 2,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Level 1 ,913,York Range,Circlet,Ms.,Sarah,Berry,f,99586153,ramirezfrank@example.org
2022-06-24,2,576.0,750,1 out of 3,Canberra,Unfurnished,Bachelors/Family,2,Contact Owner,795/,9,Leach Steps,Junction,Mrs.,Heather,Cain,f,1121-9428,kimberlysnyder@example.net
2022-06-17,2,573.0,751,3 out of 3,Canberra,Unfurnished,Bachelors,1,Contact Owner,Unit 89 ,77,Miller Towers,Circuit,Mrs.,Laura,Farley,f,+61 2 8838 0216,bowencharles@example.org
2022-06-26,2,567.0,900,Ground out of 2,Canberra,Semi-Furnished,Bachelors,1,Contact Owner,Level 9 ,040,Torres Cutting,Meander,Mr.,Jason,Richards,m,+61-404-410-266,jacobedwards@example.net
2022-06-23,2,562.0,400,1 out of 3,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,6/,11,Murray Elbow,Part,Mrs.,Sarah,Dunn,f,0463.915.804,qmcintyre@example.com
2022-06-13,2,578.0,1000,Ground out of 2,Canberra,Semi-Furnished,Bachelors/Family,2,Contact Agent,Level 8 ,562,Koch Top,Pathway,,April,Duran,u,+61779628096,thomastonya@example.com
2022-06-11,2,566.0,1000,Ground out of 1,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,11/,33,Brandon Run,Wade,,Michael,Leonard,u,2220-9916,qgomez@example.org
2022-05-26,3,574.0,1500,1 out of 1,Canberra,Semi-Furnished,Family,2,Contact Owner,4/,4,Joseph Interchange,Dip,Mr.,Aaron,Scott,m,+61.7.2693.2182,raynina@example.net
2022-04-25,2,571.0,750,1 out of 3,Canberra,Unfurnished,Bachelors/Family,2,Contact Owner,Apt. 398 ,301,Victoria Point,Gap,Ms.,Pamela,Gonzales,f,24726229,reginaldnash@example.com
2022-05-11,1,572.0,1200,2 out of 4,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,Unit 72 ,73,Holmes Circlet,Reserve,Dr.,Debbie,Wilson,f,0828121062,lwest@example.org
2022-05-06,2,565.0,700,Ground out of 1,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Unit 98 ,062,Thomas Spur,Circle,Dr.,Kerri,Williams,f,+61 3 8085 3875,fhoffman@example.net
2022-05-10,2,565.0,700,4 out of 4,Canberra,Furnished,Bachelors/Family,1,Contact Owner,817/,526,Robert Way,Brae,,Lisa,Robinson,u,7885 5468,shellybray@example.net
2022-05-21,2,565.0,1000,Ground out of 2,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,889/,74,Jack Ridgeway,Link,Dr.,Rasha,Manne,m,+61.491.858.923,yduncan@example.net
2022-06-12,2,564.0,1200,1 out of 3,Canberra,Unfurnished,Bachelors/Family,2,Contact Owner,Apt. 589 ,4,Kelly Bridge,Mount,Mrs.,Amy,Walker,f,+61 2 7120 6011,conniebrown@example.com
2022-06-05,2,558.0,550,2 out of 3,Canberra,Furnished,Bachelors/Family,1,Contact Owner,Apt. 695 ,5,Charles Lower,Vista,Mr.,Rodney,Berger,m,03 0513 3520,bjohnson@example.net
2022-06-25,2,565.0,800,Ground out of 4,Canberra,Unfurnished,Bachelors,1,Contact Owner,6/,6,Pitts Road,Parklands,,Roger,Cook-Henry,u,07 3389 6987,ericmurphy@example.net
2022-06-11,2,562.0,280,1 out of 3,Canberra,Unfurnished,Bachelors,1,Contact Owner,Flat 76 ,6,William Circlet,Heights,,Joseph,Gentry,u,(07) 4963 9304,zstone@example.com
2022-05-10,2,564.0,950,Ground out of 2,Canberra,Unfurnished,Bachelors/Family,1,Contact Agent,Unit 17 ,31,Wood Frontage,Way,,Cynthia,Cohen,u,(07)-5119-2598,charleshenry@example.com
2022-05-13,1,560.0,250,1 out of 2,Canberra,Furnished,Bachelors/Family,1,Contact Owner,Apt. 972 ,53,Cole Estate,Boulevard,Dr.,Sarah,Norris,f,0464-358-624,iowens@example.com
2022-05-10,2,562.0,1000,Ground out of 2,Canberra,Unfurnished,Bachelors,1,Contact Owner,Apt. 944 ,580,Shirley Run,Fairway,Dr.,Joshua,Johnson,m,67611148,anthony85@example.net
